epoch,train_ce,val_ce,epoch_time_sec
1,4.638105,4.376719,41.9
2,4.295615,4.168014,40.3
3,4.134259,4.080401,40.2
4,4.072324,4.02208,40.3
5,4.029989,3.985946,40.5
6,3.993762,3.942001,40.4
7,3.958859,3.918389,40.4
8,3.924132,3.886411,40.4
9,3.885927,3.830795,40.4
10,3.847899,3.792819,40.5
11,3.804602,3.741484,40.4
12,3.755724,3.689593,40.3
13,3.714931,3.65992,40.4
14,3.685121,3.637425,40.3
15,3.66169,3.626617,40.5
16,3.643139,3.604356,40.6
17,3.626822,3.602323,40.6
18,3.610161,3.589108,40.4
19,3.598312,3.58771,40.6
20,3.585701,3.577907,40.3
21,3.574443,3.572844,40.6
22,3.563695,3.559761,40.3
23,3.553922,3.558174,40.3
24,3.546435,3.552045,40.4
25,3.536753,3.546979,40.3
26,3.530124,3.549361,40.3
27,3.521887,3.542777,40.4
28,3.514544,3.546115,40.4
29,3.507232,3.537317,40.6
30,3.501403,3.540666,40.5
31,3.493874,3.539042,40.4
32,3.488905,3.538229,40.3
33,3.483637,3.540297,40.4
34,3.476684,3.534969,40.3
35,3.471544,3.538171,40.3
36,3.465964,3.536716,40.4
37,3.459303,3.535475,40.3
38,3.454512,3.536076,40.3
39,3.449888,3.54033,40.3
40,3.445123,3.536285,40.5
41,3.440141,3.538487,40.4
42,3.435561,3.538899,40.5
43,3.43041,3.537885,40.6
44,3.426887,3.53755,40.6
